Title,Body,Stars
Molto migliorato,"L ho acquistato per sostituire un Echo Dot di un paio di anni fa, per capirci quello  piatto  di 3a generazione che si trova ancora in vendita La differenza in termini di qualità audio è notevole e già solo questa vale i circa 10 euro di differenza sul prezzo Inoltre questo ha anche il sensore di movimento e dunque consente di creare routine che si attivano quando rileva la presenza di qualcuno nella stanza Spettacolare la procedura di installazione azione che consente anche all utente meno esperto di collegarlo praticamente    senza fare niente   Spesso chi non lo possiede mi chiede    a che ti serve Beh, a tante cose, molte delle quali probabilmente ancora non le conosco  È un assistente vocale che mi fa compagnia leggendo i dei libri, ricorda le mie scadenze, mi sveglia al mattino, mi dice le news e le previsoni del meteo, mi collega con altri dispositivi simili per parlare con i miei familiari  oltre ad essere un ottimo speaker per ascolto radio o playlist, consente di gestire l accensione e spegnimento delle luci e di tutti i dispositivi controllabili via Bluetooth o wi fi come le tapparelle, le telecamere di sorveglianza, le luci dell albero di natale    insomma  tutto ciò che è compatibile con Alexa si può gestire attraverso questo piccola sfera magica Lo consiglio dunque a chiunque voglia divertirsi con la domotica e l automazione dei vari dispositivi elettronici di casa Certo, una volta facevamo tutto anche senza ma    non è un buon motivo per non provare la differenza, soprattutto quando ci semplifica la vita  ","5,0"
okkayyy,con srte soldi va anche troppo bene,"5,0"
Soddisfatto,Semplice e facile da installare,"5,0"
Top,"Fa tutto, o quasi  ","5,0"
niente,per adesso solo musica,"5,0"
Bellissimo,Tutto bene grazie,"5,0"
Non so,Funziona come tutte,"5,0"
Alexa,Tutto ok  Ottimo prodotto,"5,0"
Perfetto,Funziona perfettamente,"5,0"
comodità,"alexa ottima compagna giornaliera, si sente benissimo e sempre pronta rispondere a qualunque esigenza ","5,0"
capisce,lo preso per mia figlia e si capiscono benissimo sodisfatta lei e contento io,"5,0"
La consiglio,Efficace,"5,0"
"Un nome, una garanzia!","Acquistata con il Black Friday, installata subito e utilizzata ogni giorno Assolutamente consigliata ","5,0"
"Echo Dot (5ª generazione, modello 2022)",Ottima idea anche per un regalo,"5,0"
Stupenda,Eccezionale,"5,0"
È il terzo che compro,"Ormai a casa ne ho tre in varie stanze  Questo l ho acquistato A mia madre che lo ama    Ascolta musica classica, sente il telegiornale o semplicemente chiede qualcosa quando non sa la risposta  Purtroppo non l ho collegato A luci o tv ma già utilizzandolo come base, è bellissimo  Io lo uso anche per addormentarmi o come svegli e come promemoria di farmaci da prendere appena sveglia  Acquistatelo e non ve ne pentirete ","5,0"
Assistente,Ottimo prodotto per l uso in casa per domotica e le sue funzioni,"5,0"
Come al solito impeccabile,Consegna impeccabile  Ormai li sto inserendo in tutta la casa e sono contentissimo del loro funzionamento,"5,0"
Troppo utile,Discreto ma utilissimo,"5,0"
Miglioramenti solamente nel design,"Rispetto al modello precedente di Eco Dot, quello di terza generazione, personalmente noto solo miglioramenti nel design  La qualità audio mi sembra la stessa e l efficienza energetica è pressoché la stessa  Mi sono trovato bene in passato, mi trovo bene tutt ora  Nulla da aggiungere","5,0"
Eccellente,"È il mio secondo per uso personale È facile da avviare e utilizzare  Molto utile e funzionale, a tratti sorprendente  L audio non fa miracoli, ma è molto buono ","5,0"
Tutto perfetto,Tutto perfetto,"5,0"
Tutto ok,Tutto ok,"5,0"
Simpatico,Ottima esperienza,"5,0"
Molto divertente,"Ottimo per ascoltare musica e fare domande  Oggetto simpatico, non indispensabile per ora ","5,0"
Ottimo suono,Possiedo altri dispositivi Echo  Il suono è decisamente il migliore ,"5,0"
Una conferma,"Ottimo, qualità della voce migliorata rispetto alla versione 3","5,0"
utile,"a volte non mi sente e devo ripetere le cose due volte nonostante sia a 3 metri di distanza però per il resto molto utile, anche se dovrebbero mettere le canzoni gratuitamente invece di avere spotify o amazon music premium  ","4,0"
La uso come radio in cucina,Cercavo una radio per la cucina che non prenda tanto spazio e facile da usare ma alcune costavano veramente molto     e sono arrivata a alexa faccile da usare non è ingombrante e il prezzo era perfetto la sto utilizzando da 2 mesi ormai è sono pienamente soddisfatta ,"5,0"
"Amazon Echo Dot di 5a generazione: un dispositivo promettente, ma non all'altezza dei concorrenti","L Amazon Echo Dot di 5a generazione è un dispositivo con una grande promessa, ma che non riesce a mantenere tutte le aspettative  Sebbene il design compatto e la qualità audio siano abbastanza buoni, il dispositivo non riesce a distinguersi dai concorrenti sul mercato Uno dei principali problemi dell Echo Dot di 5a generazione è la qualità dell assistente vocale Alexa  Rispetto ad altri assistenti virtuali come Siri di Apple e Google Assistant, Alexa sembra meno intuitiva e spesso fatica a capire le richieste degli utenti  Inoltre, il dispositivo ha problemi di riconoscimento vocale, specialmente quando si trovano in ambienti rumorosi Un altra criticità riguarda le opzioni di connettività limitate  L Echo Dot di 5a generazione ha solo una porta AUX in, il che significa che non c è possibilità di collegarsi via Bluetooth  Ciò può essere un problema per chi utilizza il dispositivo principalmente per ascoltare musica Infine, il prezzo dell Echo Dot di 5a generazione è più alto rispetto ad altri dispositivi simili sul mercato, senza però offrire prestazioni superiori  Ci sono altre opzioni più convenienti che offrono prestazioni simili o migliori In conclusione, l Amazon Echo Dot di 5a generazione è un dispositivo promettente, ma che non riesce a distinguersi dai concorrenti sul mercato  La qualità audio e il design compatto sono abbastanza buoni, ma il dispositivo soffre di problemi di assistente vocale, opzioni di connettività limitate e un prezzo più alto rispetto ad altri dispositivi simili  Con una valutazione di 3 stelle su 5, ci sono sicuramente altre opzioni sul mercato da considerare ","3,0"
Ottimo prodotto,Non risponde ai comandi,"5,0"
Top,Ne possiedo 2 collegati sala e camera top,"5,0"
Tutto come previsto,"Nulla da segnalare, è arrivato ciò che mi aspettavo","5,0"
Utile,La uso in ogni circostanza,"5,0"
Perfetto,Ha un suono perfetto,"5,0"
Ottimo prodotto,Prodotto super intelligente,"5,0"
Valido,"Molto comodo per tante piccole cose, alcune volte non riconosce la voce e altre volte non sente bene, ma prodotto consigliato ","4,0"
Ottimo prodotto,Funziona bene,"5,0"
Ok,Perfetta,"5,0"
ottimo acquisto,ottimo prodotto,"5,0"
Echo dot,Ottimo prodotto   ,"5,0"
Ottimo come sempre,È già il secondo che acquisto ed è tutto impeccabile questo lo regalato alla mia nipotina che ascolta le canzoni     ,"5,0"
facile da utilizzare,Prodotto come da descrizione,"5,0"
ATTENZIONE: STEREO SOLO CON SORGENTI AMAZON,"Convinto dal buon suono che hanno i due echo che ho già, e ho prese altre due per creare una coppia di speaker stereo per la TV e per il giradischi  Errore  Se usati con una sorgente Amazon, tipo amazon music sul cellulare, allora funzionano in coppia stereo  Ma se cerchi di accoppiarli ad un dispositivo qualsiasi, tipo TV o giradischi o cellulare, ne funziona solo una alla volta  Restituisco subito ","4,0"
Ottimo,Tutto ok,"5,0"
Buon prodotto,Pensavo avesse un volume migliore rispetto alla versione precedente invece devo dire che sono molto simili  Talvolta non sente in maniera perfetta ma per quanto riguarda l assistente vocale la cosa che più mi colpisce è la sua costante evoluzione e miglioramento ,"4,0"
Ottimo aiuto in casa,Una figata mi piace molto e risponde alle attese,"4,0"
La sensibilità,L utilizzo,"5,0"
Una certezza come al solito.,Un pò complicata la gestione stereo con il Mac  Una seccatura che potrebbe essere anche causata dalla mia inesperienza    due Echo in stereo via BT non si riesce  In stereo solo su Spotify  Con Applemusic per quanto ci abbia provato sembra non sia possibile  Poi in realtà non ho approfondito ,"5,0"
Alexa,"Ho deciso di acquistare questo dispositivo in quanto quello precedente si è rotto  Rispetto al classico Alexa più piccolo questa palla risulta maggiormente performante a livello di suono, ma non ho notato altri grandi differenza  La differenza di prezzo, comunque, è contenuta ","5,0"
Perfetto per regalo,Funziona,"5,0"
Super,Facile e comoda,"4,0"
Magica...,"Con l abitudine impari ad utilizzarla al meglio  È ottima un po  per tutto Studio, traduttore, ricette al volo, musica, informazioni varie   stupefacente","5,0"
Consigliato,Semplice da usare e facile l installazione,"5,0"
Ottimo prodotto,Ottimo prodotto e ottimo prezzo,"5,0"
Divertente ed utile,"Incuriosita dalle potenzialità di questo apparecchio, mi sono decisa ad acquistarlo scegliendo la versione più economica, proprio per testare se idonea per me Arrivata  già impostata, in quanto iscritta ad amazon, e  bastato collegarla alla corrente perché fosse pronta all uso  A qualche giorno dal suo utilizzo, posso dire che mi piace molto, sono contenta e cercherò di scoprirla giorno dopo giorno  Oltre alla possibilità di sveglia, musica, rubrica dove annotare a voce appuntamenti, cose mancanti ecc ecc, da anche risposte su quesiti, inoltre ci si può anche divertite giocando con lei  Uniche pecche antipatiche   la frequenza nel proporre acquisti di skill   tipo di app idonee per Alexa  e spesso la non comprensione su una domanda posta, con conseguente risposta inadeguata   Essendo un prodotto di Amazon tendenzialmente cerca di proporre acquisti, onde evitare di acquistare con un involontario consenso, basta disattivare gli acquisti vocali nell apposita sezione  Nel complesso gran bel giocattolino per gli appassionati delle novità, assolutamente da regalare o regalarsi, io la ricomprerei al volo    ","5,0"
Ottimo prodotto,"Buon venditore,  ottimo rapporto qualità prezzo","5,0"
Una garanzia,Pratico e maneggevole,"5,0"
Design e funzionalita,Ottimo oggetto tecnologico e sound accettabile per musica   Comandi semplici  Skills facili ed intuitive,"5,0"
Funziona benissimo e si attiva molto rapidamente,"Io cercavo uno di quegli apparati alexa, che non sembrano più disponibili , come anche quelli di altre Marche , non sempre compatibili   Ho ho ripiegato su questa e sono pienamente soddisfatto della scelta","5,0"
Consigliata,Un dispositivo che ti permette di rilassarti ascoltando musica con grande semplicità,"5,0"
buon acquisto,buon venditore,"4,0"
Velocità consegna,Perfetto,"5,0"
un passo avanti,rispetto alla terza generazione un grosso passo avanti sia per riconoscimento che per acustica,"5,0"
Tutto ok,Tutto ok,"5,0"
Adoro la mia Alexa,Adorabile,"5,0"
"Bellissima, solo una pecca…",Bellissima   L unica pecca è che il cavo sia bianco esteticamente era perfetto nero  ,"5,0"
Echo,Ogni tanto si incanta ma ho notato che lo fa quando attivo le restrizioni sulla voce nella privacy da app   trovo comodo il pulsante blocco delle registrazioni audio non mi piace che le mie conversazioni possano essere ascoltate da terzi e messe sul cloud internet  non mi fido  per il resto audio si sente molto bene  Contento perché lo ho acquistato a metà prezzo in promozione ,"4,0"
Essenziale al giorno d’oggi,Chi non ha un alexa in casa  Beh io fino ad ora non l avevo e posso dire che mi ha rivoluzionato la casa dalla luce all accensione della tv  Molto utile anche per le notizie mattutine  Non si può fare a meno,"5,0"
Ottima,Appena comprata e sono rimasto soddisfatto,"5,0"
Velocità estrema,Tecnologia avanzata ottimo acquisto,"5,0"
TRASMISSIONE DATI,UTILE SIMPATICO PRODOTTO INCREDIBILE,"5,0"
Manca poco per averle ovunque,"Dunque, questa è stata destinata in camera dei ragazzi, così che loro ascoltino la loro musica e noi la nostra  Ovviamente comoda per ricerche vocali ogni tanto s impappina o parte per la tangente spiegando cose non richieste, ma la valutazione rimane sempre positiva ","5,0"
Meraviglioso,E supercomodo lo uso per tante cose e il mio assistente a casa,"5,0"
"Bello, utile!","Intuitivo, utile per la musica e per quello che più serve ","5,0"
OTTIMO PRODOTTO,"Prodotto eccellente, utile ","5,0"
Regalata a mia suocera,Regalata a mia suocera che ora si diverte con musica e altre funzionalità  Unica nota negativa è che se non hai music unlimited fà come gli pare e ti riproduce una canzone di quel cantante e 10 di altri  Per il resto è di compagnia e rende un po più agibili alcune azioni   timer   promemoria   calcolatrice   ricerche veloci ecc    ,"4,0"
Ineccepibile,Nulla da dire  OTTIMA segretaria per la gestione degli appuntamenti e dei propmemoria,"5,0"
Top,Ottima,"5,0"
Simpatico accessorio!,"È il secondo apparecchio di questo tipo che acquisto  questo per un amica    , che dire  È un simpatico accessorio dalle molteplici funzioni anche molto utili  Consigliato ","5,0"
Echo Dot 5ª generazione,"Tutto ok é stato un regalo che hanno apprezzato tantissimo, funziona perfettamente ed è facile da installare,Amazon top come al solito consegna in un giorno ","5,0"
Un ottimo giocattolo,"devo dire che sono rimasto molto sorpreso dalla facilità con cui riconosce i dispositivi  Ho provato anche con  Tasmota ed è immediato  La parte audio è molto buona ma inferiore all Echo, forse anche per la dimensione inferiore di questo dispositivo  Echo è più grande ed immagino le casse siano più prestanti  Fastidioso il fatto che se si chiedono brani di uno specifico cantante, comunque riproduce canzoni di vari artisti  Amazon vuole costringerci ad aderire ad Amazon music a tutti i costi  Di fatto siamo già suoi clienti, magari anche Prime e comunque alimentiamo Amazon già con i nostri acquisti  Potrebbe essere più comprensiva  Nel complesso sono molto soddisfatto ","5,0"
Perfetto,Facile installazioneAudio perfettoTutto come da descrizione,"5,0"
Pensavo meglio,"Rispetto alla 3a generazione si sente decisamente meglio, suoni più cristallini e forti, ma sempre rispetto alla 3a mi capita più spesso di dover ripetere le cose e dove chiamare più volte Alexa, quindi canta bene ma è un po  sorda ","4,0"
Eco doth 5 colore nero,"È stata una sorpresa, non mi interessava più di tanto il prodotto, ma per risolvere alcuni problemi all impianto elettrico  mancanza di spazio nei corrugati per far passare tutti i cavi dei deviatori  ho deciso di prenderlo e iniziare a domotizzare le luci  Qui la sorpresa, oltre a domittazere ho scoperto un altoparlante dal suono potente e pulito, si connette in automatico con spotify e amazon music, adesso cercherò di accoppiarlo ad un lettore mp3 per le mie discografie  Tanto ne sono rimasto soddisfatto anche per la possibilità di usarlo come interfono, che ho deciso di prendere anche un echo show da 8 , ed è formidabile pensare che io possa controllare cosa succede nella stanza dove l ho messo, chiaramente all ingresso  ","5,0"
"Ottimo prodotto, 10 con lode",Direi tutto ok,"5,0"
Non c'è niente da dire!,Ottimo mezzo polifunzionale,"5,0"
"Echo Dot (5ª generazione, modello 2022)","funziona bene, e si sente anche bene radio,musica ecc   pensavo peggio   x le dimensioni che ha  ","5,0"
Estetica e installazione,"Il suono è buono  L installazione non è stata semplicissima, occorre scaricare sul cellulare l app e comunque ho dovuto chiedere assistenza telefonica che comunque ha risolto il problema subito  Dal punto di vista estetico per me non è  eccellente , inoltre il Dot è  nero      ma il cavi di alimentazione nella mia confezione è bianco  non so se per errore       non è  il massimo   ","4,0"
Il mio primo dispositivo Eco,"Premetto di averlo sempre considerato un oggetto superfluo, erroneamente  Infatti, dopo meno di un mese di utilizzo, non voglio dire mi sia indispensabile ma senza dubbio mi è di grande aiuto nella quotidianità  Ti libera letteralmente le mani  Notifiche su consegne spedizioni, news, promemoria, palinsesto tv,meteo e tante altre funzioni sono a portata di voce e quando ad esempio sto cucinando oppure con le mani impegnate è davvero comodo e funzionale  Personalmente ci ascolto la musica per ore e reputo l audio di ottimo livello  È come avere un enciclopedia sempre aperta a disposizione  Non posso più farne a meno ","5,0"
fa quello che puo,"pensavo fosse migliore ,ma è molto limitata","4,0"
Alexa è fantastica!,Un ottima assistente,"5,0"
Purtroppo mi è arrivato difettoso,"Purtroppo il prodotto mi è arrivato difettoso, infatti non c era modo di fari ascoltare a meno dell attivazione da tastierino  Fatto il reso e preso il modello con la scritta per pochi euro di differenza e devo dire la verità è davvero comodo il piccolo display sia per timer che come orologio ma anche nel resto delle comunicazioni  Consiglio l altro modello a questo per una questione di comodità ma alla fine è lo stesso prodotto ","3,0"
Innamorato,"In casa adesso gira in altra aria , puoi chiedere tutto quello che vuoi e alexa ti risponderà sempre","4,0"
BUON PRODOTTO,Utile per tutto ,"5,0"
Ottimo,Prodotto conforme alla descrizione e funzionale  Il suono è migliorato,"5,0"
Ok,Ok,"5,0"
Ottimo prodotto,Mi è piaciuto molto la qualità e il disegno,"5,0"
Un’amica geniale,"Ho preso finalmente il dispositivo Echo Dot di Amazon che nel corso degli anni è entrato piano piano nelle case di milioni di italiani, avendo il piacere di conoscere l assistente per eccellenza ovvero Alexa  Devo dire che il prodotto è molto facile da installare e sopratutto molto compatto ma dalla grande potenza sonora proveniente dallo speaker interno  Ho preso il modello bianco ghiaccio che si sposa benissimo all arredamento del mio salone prevalentemente color bianco e nero  Un prezzo super conveniente durante la settimana del Black Friday ha fugato ogni mio dubbio sull acquisto che ponderavo da quasi un anno  Sinceramente non vale la pena comprarlo a prezzo pieno, il prezzo è abbastanza alto visto che è l ultimo modello generazionale, ma durante il periodo in cui Amazon lo propone in sconto vi consiglio di comprarlo senza pensarci due volte  La sera mi rilasso ascoltando della buona musica jazz e blues senza dover mettere dischi o fare altro, basta solo un comando con la voce e il gioco è fatto ","5,0"
Mah...,"Audio migliorato ma dopo averlo provato per un mese sono tornato alla versione 3 che a mio parere rimane il migliore di tutti  quando faccio le chiamate ad altri dispositivi non mi sentono,con la versione 3 mi sentono forte e chiaro  quindi microfono da migliorare insieme al riconoscimento vocale  ","4,0"
Perfetto!,l ho posizionato in bagno ed è fantastico ,"5,0"
Ottimo regalo,"Regalato a mio zio, non proprio avvezzo alla tecnologia   Sinceramente ha gradito molto più di quanto immaginassi Gliel ho preso perché a lui piace sapere il tempo, la temperatura, gli torna utile come timer, come promemoria, può mettere la musica   senza smanettare con il cellulare Ormai hanno fatto amicizia, e risponde anche se la chiama Alessia, Alexia e simili XD ma se non erro gli si può impostare un altro nome  ma mi fanno troppo divertire le sue varianti Secondo me è un ottima idea anche per i nonni  che hanno internet a casa ovviamente    così mettono la musica che piace a loro, sanno sempre che ore sono, se pioverà   Ricette, può chiamare persone direttamente dal dispostivo  purché anche i destinatari abbiano impostato l app Alexa se non erro    Non pensavo, ma sono rimasta davvero contenta, più di quello che pensavo ","5,0"
Un simpatico prodotto,Al momento quasi tutto perfetto  L unico limite è che alcune risposte non le conosce oppure spesso mi collegherebbe in automatico ai pacchetti musica e libri a pagamento di Amazon  Per il resto un simpatico prodotto   soldi ben spesi ma l ho preso in offerta  A prezzo pieno ci avrei pensato forse ,"4,0"
Comodissima,"Ottimo rapporto qualità prezzo  Non molto complicata da installare ma non semplicissima da configurare con le skill che non sono sempre presenti nella lista che trovate nella sua app, non è sempre chiaro il procedimento  Comunque un accessorio comodo ","4,0"
"Consigliata,io l ho presa per ascoltare musica di qualsiasi genere",Consigliata per ascoltare musica di ogni genere,"5,0"
Buona,Ché dire come cassa è buona anche il prezzo però diciamo che delle volte Alexa sbaglia quello che dici comunque la consiglio tutti grazie come sempre Amazon è il venditore saluti,"4,0"
Da migliorare,"Il prodotto di per se è valido  Buona la qualità del suono  Tuttavia abbinandolo ad una fire tv c è un enorme differenza di volume tra l assistente vocale e i contenuti visualizzatore  prime video, Netflix   In particolare per godere dell audio dei film e serie sono costretto a metterlo quasi al massimo, e se nel mentre necessito di alexa devo prima abbassare il volume altrimenti spara al massimo ","4,0"
Utilissima ed apprezzata come regalo,"Prodotto comprato in occasione di Natale ed è stato molto apprezzato Echo Dot 5 ha una bella linea che si rapporta in maniera ottimale con l ambiente circostante L audio durante la riproduzione della musica è limpido e si riescono a percepire i bassi in modo equilibrato Comodissimo anche il termostato integrato che rileva  la temperatura interna alla stanza Da sottolineare anche l ottima interfaccia del sistema che lo rende migliore dei competitors Prodotto consigliato sia agli amanti della tecnologia che vogliono rendere la loro casa dotata di una domotica intelligente, sia a chi vuole semplicemente un assistente virtuale ","5,0"
Alexa tutta la vita,Ottimo acquisto,"5,0"
Ottimo,Funziona benissimo,"5,0"
È già il secondo,Acquistato per avere la musica multi stanza  Ho provato a metterlo come audio stereo per il televisore ed è stata veramente una scoperta i due canali restituiscono un audio potente per piccoli ambienti,"5,0"
Alexsa e molto utile,"E un regalo che io ho fatto per natale,funziona bene il pacchetto ben fatto,e arrivato il giorno dopo con prime","5,0"
Suona molto bene,"Perfetto  Buona qualità del sound, ma devo ancora scoprire come collegare tramite il Bluetooth, la mia smart TV     sempre che sia possibile farlo, però acquistato a metà prezzo con il Black Friday, un bell affare    cinque stelle ","5,0"
molto professionale,forteeeeeeee,"5,0"
Divertente,Ottima compagnia e molto utile per ogni curiosità  Sostituisce anche il classico stereo ,"5,0"
Ottimo,Ottimo prodotto,"5,0"
Un buon prodotto per la sua fascia di prezzo,La qualità dell audio non è male ma si potrebbe fare di meglio  La regolazione del volume tramite i tasti a volte ha una risposta non immediata  Ma è piccolo e pratico da spostare  Noi lo usiamo in sala e in giardino principalmente per ascoltare musica e portarlo avanti e indietro è pratico  Purtroppo va necessariamente collegato alla corrente e non dispone di autonomia,"4,0"
Utile!,"Posizionato in cucina, utile per sveglie timer e promemoria, musica e radio con semplice richiesta vocale, arricchito con tanti giochi da poter fare  Da migliorare in futuro l intelligenza di Alexa e aggiungerei anche una cassa più forte   ","4,0"
Ottimo suono rispetto all'echo dot base,"Sono contento che abbiano migliorato il microfono, adesso anche a due stanze di distanza riesce ad ascoltare  Inoltre mi è capitato di parlare nominando  Alexa  in un discorso con altre persone e non si è attivata  Forse un aggiornamento fa riconoscere finalmente quando è il momento di attivarsi e quando no  Comunque funziona in modo egregio con tutte le funzioni di Alexa ","4,0"
Ottimo per tante cose musica news comandi vocali ecc.top,"Ottima qualità del suono,riconoscimento vocale ok puoi chiedergli quasi tutto ","5,0"
Soddisfatto. Buon prodotto.,"Prodotto che oramai si recensisce da solo, essendo della famiglia  Alexa   A livello di audio mi sembra appena poco più basso dei un echo dot, ma sicuramente resta un ottimo prodotto  Avrei messo i comandi touch più verso l utente e meno verso il lato nel quale si inserisce l alimentazione","4,0"
Ottimo sound,"Buona integrazione con la voce e ottimo sound, scontato è un affarone  ","4,0"
Bello,Troppo carino x ascoltare musica e chiedere informazioni s3nza usare il tel   ottimo,"4,0"
Echo ed Alexa al TOP,Nella vostra camera da letto non può mancare questo accessorio Essenziale per la domotica ,"4,0"
Ci vuole prime music,Per essere così piccolo si sente benissimo,"5,0"
Buono,Mi aspettavo un audio migliore ma va bene così  È  un buon prodotto ,"4,0"
Echo che echo,"Funziona veramente      Umor, sono capricci utili soprattutto per i bambini, non mi voglio prolungare più di tanto l importante avere tutto WiFi poi con Echo puoi fare quello che vuoi,facile nel montaggio, installazione idem, consiglio vivamente amazon se consiglia ci sarà un motivo ","5,0"
Un'assistente vocale ma non solo,"Ho acquistato Alexa come regalo di Natale per mia madre perchè ama molto ascoltare musica e perchè vedo che spesso guarda le ricette su youtube, quindi per permetterle di azionare musica o tv senza dover usare un telecomando  In realtà ho scoperto tutte le funzioni legate alla casa intelligente come l accensione di luci o il collegamento di dispositivi, e mi sto appassionando  Credo che nel tempo implementerò ulteriormente quest automazione domestica con Alexa ","5,0"
Da consigliare,Prodotto molto semplice da usare,"5,0"
Casa,Mi è piaciuto tantissimo e un  altoparlante ottimo  di alta qualità  lo consiglio  lo utilizzo  per comandare  tutto la casa  ,"5,0"
ottimo prodotto,prodotto ottimo come da descrizione,"5,0"
Utile,"Ottimo suono , utile","4,0"
Bello,"Alexa è stratosferica  Risponde bene ad ogni comando, molto comodo e utile per chi sta sempre a letto e per chi perde il telecomando","5,0"
Ottima,Tutto bene si sente ottimamente fa tante cose è intuitiva e cosa importante si collega anche con l hotspot dello smartphone ,"5,0"
Alexa,Alexa una garanzia,"5,0"
Fantastica,"Alexa meravigliosa,mi ricorda appuntamenti,mi fa lista della spesa mi dà il buongiorno, qualità della musica molto buona","5,0"
ottimo,da scoprire le funzionalità del dispositivo,"4,0"
Ottimo,Bella e funzionale,"5,0"
Ottimo passatempo,Facile l istallazione e comoda,"5,0"
Un cult,Sempre utile,"5,0"
"Buon sound, temperature rilevata imprecisa","Un discreto passo avanti dal 4, anche se niente di esoterico  L avevo preso più che altro per sfruttare anche il sensore di temperatura, ma è decismente inaffidabile  Anche due echo 5 vicini segnano 2 gradi di differenza    mica pochi UDPATE I sensori dei due echo ora sono in linea sia tra loro che col termostato di casa","4,0"
Bellissimo...lo consiglio grazie,"Allora amici che dire di Echo Dot 5 non mi aspettavo che questo oggetto trasformasse la mia vita Ho iniziato , con un pezzo Alexa appunto e ho trasformato a oggi la mia casa tutta smart, dalla tv a tutti gli oggetti smart che ci sono su Amazon Diriggo il tutto semplicemente seduto sul divano oppure in cucina fantastico lo consiglio Ps l unica cosa che non va e  chiedere a Alexa di svegliarmi tre volte la settimana per andare ha correre alle 7 del mattino  perche  e troppo precisa e se non ti svegli insiste ha chiamarti ahahaha ","5,0"
Regalo perfetto,"Ne ho prese tre in breve periodo, regalate e tutti soddisfatti ","5,0"
Ottimo prodotto,Ottimo prodotto,"4,0"
Alexa,Buon prodotto,"4,0"
Bello esteticamente e funzionale. Nel complesso un buon prodotto,"Ormai gli echo dot non sono più una novità  Ottimo prodotto come gli altri delle precedenti generazioni del resto  Ne ho altri 4, anche di prima generazione  In questo mi aspettavo qualche miglioria evidente ed invece, più o meno, siamo sul solito livello anche come qualità audio ","4,0"
Semplice e molto utile,"Gli chiedi di tutto, dalle notizie alle curiosità,  persino le barzellette  Si collega con tutte le radio del mondo, utile per le lingue, utile per la scuola dei ragazzi e per cultura generale  Un accesso vocale alla rete  Simpatica la funzione di messaggi preimpostati a certe ore, ad esempio per ricordarti di una medicina o di fare sport o di bere più spesso  Si può adattare come un amico che ti ricorda le cose importanti   Trovo che sia un bel oggetto anche per persone anziane sole  Ottimo rapporto qualità prezzo ","5,0"
Funzionale,Un po tanti difetti ,"4,0"
Amico indispensabile,"Rapida installazione, mille risorse per tutta la famiglia","5,0"
Audio più potente e nuovi sensori,"                    Impossibile caricare il contenuto multimediale                  Il progresso continua , in primis spicca la presenza di un sensore temperatura che rende questo dispositivo un preciso  termometro , altra integrazione riguarda l accelerometro così vi basterà toccare il dispositivo per ad esempio mettere in pausa o stoppare la svegliaDriver più grande e la differenza si notaAudio abbastanza potente e soprattutto realmente personalizzabile nell equalizzazione, modificando dall app le frequenze andrete realmente a percepire le differenze , suono corposo e abbastanza potenteFunzione di risparmio energetico , anche la scheda per la connessione wi fi è di ultima generazione consentendo un maggior risparmio energeticoConnettività Bluetooth da e verso altri dispositivo stabile che vi permetterà di connettere il dispositivo ad altre periferiche mandando o ricevendo l audio, è stato rimosso l uscita jack via cavoInstallazione immediata se scegliete l autoconfigurazione in fase d acquisto o anche altrettanto rapida se configurerete tramite app vi basterà sincronizzare e inserire la vostra password wi fiMicrofoni bidirezionali sensibili , daranno la possibilità di azionare comandi di qualsiasi genere dalle ricerche web a l azionamenti di elettrodomestici presenti in casa e associabili all account, ormai quasi tutti gli elettrodomestici dalle tv alle lavatrici o aspirapolveri di ultima generazione sono associabili a questo dispositivoForma e design gradevoli e abbinabili su qualsiasi arredo","5,0"
prodotto amazon  molto  carino,"la forma è molto carina , una sferA CON LA BASE che s illumina , con bei colori , utili a capire lo stato della sfera , il volume massimo andrebbe migliorato , l ho comprato perchè enfatizzavano nella caratteristiche il suono     l  app per gestirlo andrebbe semplificata , io ho l account prime e mi era arrivata una mail in cui si diceva che potevo ascoltare liberamente la musica , ma non mi fa scegliere i brani , me li mette simili  L interfaccia dell app alexa crea confusione , bisogna schematizzarla meglio","4,0"
Difficoltà nella connessione Bluetooth non ha uscita aux,                    Impossibile caricare il contenuto multimediale                  Ho la prima versione di Alexa e si connette benissimo alla sound bar LG  Questa ultima versione di 5  generazione non la rileva neanche con la app Alexa Successivamente ho provato a collegare un Alexa di 4 generazione e si è collegata all istante  Nel frattempo mi ha scritto l assistenza di Amazon ed ho riprovato a riavviare Alexa e si è collegata  Nel primo collegamento ha fatto un aggiornamento software probabilmente era necessario riavviare Alexa  Do 4 stelle perché le versioni precedenti hanno l uscita Aux   In questa il cavo di collegamento è bianco con Alexa nera  ,"4,0"
strumento carino e comodo,"ero un po  perplesso, ma riconosco che sia comodo","4,0"
Ottimo prodotto!!!,Ottimo prodotto   molto efficiente   e molto utile in campo  appuntamenti     lista spesa   timer   10 lode  ,"5,0"
Grande speaker,La base per una casa domotica,"5,0"
una costante nella qualità echo dot !!!,"affidabilità confermata nel tempo, una costante di qualità  Nel mio caso una aggiunta all echo dot che ho nel mio appartamento, di facile abbinamento     e quindi di massima compatibilità con quanto già presente ed abbinato    Grande prodotto   ","5,0"
