Title,Body,Stars,Polarity,Polarity_Text
capisce,lo preso per mia figlia e si capiscono benissimo sodisfatta lei e contento io,"5,0",-0.0684,Bad
un nome  una garanzia ,acquistata con il black friday  installata subito e utilizzata ogni giorno assolutamente consigliata ,"5,0",0.25,Good
echo dot     generazione  modello      ,ottima idea anche per un regalo,"5,0",0.25,Good
stupenda,eccezionale,"5,0",0.25,Good
assistente,ottimo prodotto per l uso in casa per domotica e le sue funzioni,"5,0",0.25,Good
come al solito impeccabile,consegna impeccabile  ormai li sto inserendo in tutta la casa e sono contentissimo del loro funzionamento,"5,0",0.25,Good
ok,ottimo,"5,0",0.2296,Good
bene,li ho provati  tutti     devo dire che alexa soprattutto per il prezzo mi ha stupito  ottimo prodotto  sono soddisfatto,"5,0",-0.0112,Bad
miglioramenti solamente nel design,rispetto al modello precedente di eco dot  quello di terza generazione  personalmente noto solo miglioramenti nel design  la qualit  audio mi sembra la stessa e l efficienza energetica   pressoch  la stessa  mi sono trovato bene in passato  mi trovo bene tutt ora  nulla da aggiungere,"5,0",0.25,Good
eccellente,  il mio secondo per uso personale   facile da avviare e utilizzare  molto utile e funzionale  a tratti sorprendente  l audio non fa miracoli  ma   molto buono ,"5,0",0.25,Good
tutto perfetto,tutto perfetto,"5,0",0.25,Good
l altoparlante perfetto  alexa un po  meno,l altoparlante ha volume  microfono e bassi incredibili  ma alexa all interno non capisce molte delle cose che gli si vengono dette  rispondendo sempre con  non lo so    non ho capito  ecc  anche se migliorabile da amazon  alexa non fornisce una conversazione scorrevole come quella di google assistant  e non supporta delle domande riferite ad altre domande precedenti  per le funzioni dell altoparlante e il prezzo in sconto puo comunque essere una buona offerta ,"4,0",0.1349,Good
tutto ok,tutto ok,"5,0",0.148,Good
molto divertente,ottimo per ascoltare musica e fare domande  oggetto simpatico  non indispensabile per ora ,"5,0",0.25,Good
ottimo suono,possiedo altri dispositivi echo  il suono   decisamente il migliore ,"5,0",0.25,Good
una conferma,ottimo  qualit  della voce migliorata rispetto alla versione  ,"5,0",0.25,Good
utile,a volte non mi sente e devo ripetere le cose due volte nonostante sia a   metri di distanza per  per il resto molto utile  anche se dovrebbero mettere le canzoni gratuitamente invece di avere spotify o amazon music premium  ,"4,0",0.1212,Good
la uso come radio in cucina,cercavo una radio per la cucina che non prenda tanto spazio e facile da usare ma alcune costavano veramente molto     e sono arrivata a alexa faccile da usare non   ingombrante e il prezzo era perfetto la sto utilizzando da   mesi ormai   sono pienamente soddisfatta ,"5,0",0.25,Good
amazon alexa,solo una parola perfetta  non esiste prodotto migliore di questo,"5,0",0.2178,Good
amazon echo dot di  a generazione  un dispositivo promettente  ma non all altezza dei concorrenti,l amazon echo dot di  a generazione   un dispositivo con una grande promessa  ma che non riesce a mantenere tutte le aspettative  sebbene il design compatto e la qualit  audio siano abbastanza buoni  il dispositivo non riesce a distinguersi dai concorrenti sul mercato uno dei principali problemi dell echo dot di  a generazione   la qualit  dell assistente vocale alexa  rispetto ad altri assistenti virtuali come siri di apple e google assistant  alexa sembra meno intuitiva e spesso fatica a capire le richieste degli utenti  inoltre  il dispositivo ha problemi di riconoscimento vocale  specialmente quando si trovano in ambienti rumorosi un altra criticit  riguarda le opzioni di connettivit  limitate  l echo dot di  a generazione ha solo una porta aux in  il che significa che non c   possibilit  di collegarsi via bluetooth  ci  pu  essere un problema per chi utilizza il dispositivo principalmente per ascoltare musica infine  il prezzo dell echo dot di  a generazione   pi  alto rispetto ad altri dispositivi simili sul mercato  senza per  offrire prestazioni superiori  ci sono altre opzioni pi  convenienti che offrono prestazioni simili o migliori in conclusione  l amazon echo dot di  a generazione   un dispositivo promettente  ma che non riesce a distinguersi dai concorrenti sul mercato  la qualit  audio e il design compatto sono abbastanza buoni  ma il dispositivo soffre di problemi di assistente vocale  opzioni di connettivit  limitate e un prezzo pi  alto rispetto ad altri dispositivi simili  con una valutazione di   stelle su    ci sono sicuramente altre opzioni sul mercato da considerare ,"3,0",0.2678,Good
molto utile in tutto  ,molto utile nella vita quotidiana   a volte stonata    ,"5,0",0.25,Good
ottimo prodotto,non risponde ai comandi,"5,0",0.25,Good
top,ne possiedo   collegati sala e camera top,"5,0",0.1012,Good
okkayyy,con srte soldi va anche troppo bene,"5,0",0.25,Good
utile,la uso in ogni circostanza,"5,0",0.25,Good
perfetto,ha un suono perfetto,"5,0",0.186,Good
ottimo prodotto,prodotto super intelligente,"5,0",0.2898,Good
top,fa tutto  o quasi  ,"5,0",0.2202,Good
valido,molto comodo per tante piccole cose  alcune volte non riconosce la voce e altre volte non sente bene  ma prodotto consigliato ,"4,0",0.25,Good
ottimo prodotto,funziona bene,"5,0",0.25,Good
ok,perfetta,"5,0",0.2296,Good
ottimo acquisto,ottimo prodotto,"5,0",0.25,Good
echo dot,ottimo prodotto   ,"5,0",0.25,Good
ottimo come sempre,  gi  il secondo che acquisto ed   tutto impeccabile questo lo regalato alla mia nipotina che ascolta le canzoni     ,"5,0",-0.0684,Bad
perfetto,funziona perfettamente,"5,0",0.25,Good
facile da utilizzare,prodotto come da descrizione,"5,0",0.25,Good
la consiglio,efficace,"5,0",0.25,Good
  il terzo che compro,ormai a casa ne ho tre in varie stanze  questo l ho acquistato a mia madre che lo ama    ascolta musica classica  sente il telegiornale o semplicemente chiede qualcosa quando non sa la risposta  purtroppo non l ho collegato a luci o tv ma gi  utilizzandolo come base    bellissimo  io lo uso anche per addormentarmi o come svegli e come promemoria di farmaci da prendere appena sveglia  acquistatelo e non ve ne pentirete ,"5,0",-0.0684,Bad
troppo utile,discreto ma utilissimo,"5,0",0.25,Good
attenzione  stereo solo con sorgenti amazon,convinto dal buon suono che hanno i due echo che ho gi   e ho prese altre due per creare una coppia di speaker stereo per la tv e per il giradischi  errore  se usati con una sorgente amazon  tipo amazon music sul cellulare  allora funzionano in coppia stereo  ma se cerchi di accoppiarli ad un dispositivo qualsiasi  tipo tv o giradischi o cellulare  ne funziona solo una alla volta  restituisco subito ,"4,0",0.1538,Good
ottimo,tutto ok,"5,0",0.1684,Good
buon prodotto,pensavo avesse un volume migliore rispetto alla versione precedente invece devo dire che sono molto simili  talvolta non sente in maniera perfetta ma per quanto riguarda l assistente vocale la cosa che pi  mi colpisce   la sua costante evoluzione e miglioramento ,"4,0",-0.1335,Bad
ottimo aiuto in casa,una figata mi piace molto e risponde alle attese,"4,0",0.25,Good
la sensibilit ,l utilizzo,"5,0",0.25,Good
una certezza come al solito ,un p  complicata la gestione stereo con il mac  una seccatura che potrebbe essere anche causata dalla mia inesperienza    due echo in stereo via bt non si riesce  in stereo solo su spotify  con applemusic per quanto ci abbia provato sembra non sia possibile  poi in realt  non ho approfondito ,"5,0",-0.0684,Bad
simpatico,ottima esperienza,"5,0",0.25,Good
magica   ,con l abitudine impari ad utilizzarla al meglio    ottima un po  per tutto studio  traduttore  ricette al volo  musica  informazioni varie   stupefacente,"5,0",-0.173,Bad
consigliato,semplice da usare e facile l installazione,"5,0",0.25,Good
ottimo prodotto,ottimo prodotto e ottimo prezzo,"5,0",0.25,Good
divertente ed utile,incuriosita dalle potenzialit  di questo apparecchio  mi sono decisa ad acquistarlo scegliendo la versione pi  economica  proprio per testare se idonea per me arrivata  gi  impostata  in quanto iscritta ad amazon  e  bastato collegarla alla corrente perch  fosse pronta all uso  a qualche giorno dal suo utilizzo  posso dire che mi piace molto  sono contenta e cercher  di scoprirla giorno dopo giorno  oltre alla possibilit  di sveglia  musica  rubrica dove annotare a voce appuntamenti  cose mancanti ecc ecc  da anche risposte su quesiti  inoltre ci si pu  anche divertite giocando con lei  uniche pecche antipatiche   la frequenza nel proporre acquisti di skill   tipo di app idonee per alexa  e spesso la non comprensione su una domanda posta  con conseguente risposta inadeguata   essendo un prodotto di amazon tendenzialmente cerca di proporre acquisti  onde evitare di acquistare con un involontario consenso  basta disattivare gli acquisti vocali nell apposita sezione  nel complesso gran bel giocattolino per gli appassionati delle novit   assolutamente da regalare o regalarsi  io la ricomprerei al volo    ,"5,0",-0.1108,Bad
tutto come previsto,nulla da segnalare    arrivato ci  che mi aspettavo,"5,0",0.25,Good
una garanzia,pratico e maneggevole,"5,0",0.25,Good
design e funzionalita,ottimo oggetto tecnologico e sound accettabile per musica   comandi semplici  skills facili ed intuitive,"5,0",0.25,Good
velocit  consegna,perfetto,"5,0",0.25,Good
un passo avanti,rispetto alla terza generazione un grosso passo avanti sia per riconoscimento che per acustica,"5,0",0.25,Good
tutto ok,tutto ok,"5,0",0.148,Good
bellissima  solo una pecca ,bellissima   l unica pecca   che il cavo sia bianco esteticamente era perfetto nero  ,"5,0",0.25,Good
echo,ogni tanto si incanta ma ho notato che lo fa quando attivo le restrizioni sulla voce nella privacy da app   trovo comodo il pulsante blocco delle registrazioni audio non mi piace che le mie conversazioni possano essere ascoltate da terzi e messe sul cloud internet  non mi fido  per il resto audio si sente molto bene  contento perch  lo ho acquistato a met  prezzo in promozione ,"4,0",0.25,Good
essenziale al giorno d oggi,chi non ha un alexa in casa  beh io fino ad ora non l avevo e posso dire che mi ha rivoluzionato la casa dalla luce all accensione della tv  molto utile anche per le notizie mattutine  non si pu  fare a meno,"5,0",0.0191,Good
alexa,ho deciso di acquistare questo dispositivo in quanto quello precedente si   rotto  rispetto al classico alexa pi  piccolo questa palla risulta maggiormente performante a livello di suono  ma non ho notato altri grandi differenza  la differenza di prezzo  comunque    contenuta ,"5,0",0.25,Good
perfetto per regalo,funziona,"5,0",0.25,Good
trasmissione dati,utile simpatico prodotto incredibile,"5,0",0.25,Good
super,facile e comoda,"4,0",0.2599,Good
ottimo prodotto,buon venditore   ottimo rapporto qualit  prezzo,"5,0",0.25,Good
funziona benissimo e si attiva molto rapidamente,io cercavo uno di quegli apparati alexa  che non sembrano pi  disponibili   come anche quelli di altre marche   non sempre compatibili   ho ho ripiegato su questa e sono pienamente soddisfatto della scelta,"5,0",0.25,Good
ottimo prodotto,prodotto eccellente  utile ,"5,0",0.25,Good
buon acquisto,buon venditore,"4,0",0.25,Good
regalata a mia suocera,regalata a mia suocera che ora si diverte con musica e altre funzionalit   unica nota negativa   che se non hai music unlimited f  come gli pare e ti riproduce una canzone di quel cantante e    di altri  per il resto   di compagnia e rende un po pi  agibili alcune azioni   timer   promemoria   calcolatrice   ricerche veloci ecc    ,"4,0",-0.3097,Bad
ineccepibile,nulla da dire  ottima segretaria per la gestione degli appuntamenti e dei propmemoria,"5,0",-0.1335,Bad
consigliata,un dispositivo che ti permette di rilassarti ascoltando musica con grande semplicit ,"5,0",0.25,Good
top,ottima,"5,0",0.2202,Good
simpatico accessorio ,  il secondo apparecchio di questo tipo che acquisto  questo per un amica      che dire    un simpatico accessorio dalle molteplici funzioni anche molto utili  consigliato ,"5,0",-0.1335,Bad
adoro la mia alexa,adorabile,"5,0",0.1704,Good
ottima,appena comprata e sono rimasto soddisfatto,"5,0",0.25,Good
un ottimo giocattolo,devo dire che sono rimasto molto sorpreso dalla facilit  con cui riconosce i dispositivi  ho provato anche con  tasmota ed   immediato  la parte audio   molto buona ma inferiore all echo  forse anche per la dimensione inferiore di questo dispositivo  echo   pi  grande ed immagino le casse siano pi  prestanti  fastidioso il fatto che se si chiedono brani di uno specifico cantante  comunque riproduce canzoni di vari artisti  amazon vuole costringerci ad aderire ad amazon music a tutti i costi  di fatto siamo gi  suoi clienti  magari anche prime e comunque alimentiamo amazon gi  con i nostri acquisti  potrebbe essere pi  comprensiva  nel complesso sono molto soddisfatto ,"5,0",0.0603,Good
ottimo prodotto     con lode,direi tutto ok,"5,0",0.1684,Good
non c   niente da dire ,ottimo mezzo polifunzionale,"5,0",0.1541,Good
manca poco per averle ovunque,dunque  questa   stata destinata in camera dei ragazzi  cos  che loro ascoltino la loro musica e noi la nostra  ovviamente comoda per ricerche vocali ogni tanto s impappina o parte per la tangente spiegando cose non richieste  ma la valutazione rimane sempre positiva ,"5,0",0.25,Good
echo dot     generazione  modello      ,funziona bene  e si sente anche bene radio musica ecc   pensavo peggio   x le dimensioni che ha  ,"5,0",0.186,Good
velocit  estrema,tecnologia avanzata ottimo acquisto,"5,0",0.25,Good
estetica e installazione,il suono   buono  l installazione non   stata semplicissima  occorre scaricare sul cellulare l app e comunque ho dovuto chiedere assistenza telefonica che comunque ha risolto il problema subito  dal punto di vista estetico per me non    eccellente   inoltre il dot    nero      ma il cavi di alimentazione nella mia confezione   bianco  non so se per errore       non    il massimo   ,"4,0",0.0706,Good
il mio primo dispositivo eco,premetto di averlo sempre considerato un oggetto superfluo  erroneamente  infatti  dopo meno di un mese di utilizzo  non voglio dire mi sia indispensabile ma senza dubbio mi   di grande aiuto nella quotidianit   ti libera letteralmente le mani  notifiche su consegne spedizioni  news  promemoria  palinsesto tv meteo e tante altre funzioni sono a portata di voce e quando ad esempio sto cucinando oppure con le mani impegnate   davvero comodo e funzionale  personalmente ci ascolto la musica per ore e reputo l audio di ottimo livello    come avere un enciclopedia sempre aperta a disposizione  non posso pi  farne a meno ,"5,0",-0.1335,Bad
fa quello che puo,pensavo fosse migliore  ma   molto limitata,"4,0",0.25,Good
alexa   fantastica ,un ottima assistente,"5,0",0.25,Good
meraviglioso,e supercomodo lo uso per tante cose e il mio assistente a casa,"5,0",0.25,Good
innamorato,in casa adesso gira in altra aria   puoi chiedere tutto quello che vuoi e alexa ti risponder  sempre,"4,0",0.25,Good
bello  utile ,intuitivo  utile per la musica e per quello che pi  serve ,"5,0",0.25,Good
un amica geniale,ho preso finalmente il dispositivo echo dot di amazon che nel corso degli anni   entrato piano piano nelle case di milioni di italiani  avendo il piacere di conoscere l assistente per eccellenza ovvero alexa  devo dire che il prodotto   molto facile da installare e sopratutto molto compatto ma dalla grande potenza sonora proveniente dallo speaker interno  ho preso il modello bianco ghiaccio che si sposa benissimo all arredamento del mio salone prevalentemente color bianco e nero  un prezzo super conveniente durante la settimana del black friday ha fugato ogni mio dubbio sull acquisto che ponderavo da quasi un anno  sinceramente non vale la pena comprarlo a prezzo pieno  il prezzo   abbastanza alto visto che   l ultimo modello generazionale  ma durante il periodo in cui amazon lo propone in sconto vi consiglio di comprarlo senza pensarci due volte  la sera mi rilasso ascoltando della buona musica jazz e blues senza dover mettere dischi o fare altro  basta solo un comando con la voce e il gioco   fatto ,"5,0",0.3263,Good
perfetto ,l ho posizionato in bagno ed   fantastico ,"5,0",0.0911,Good
ottimo regalo,regalato a mio zio  non proprio avvezzo alla tecnologia   sinceramente ha gradito molto pi  di quanto immaginassi gliel ho preso perch  a lui piace sapere il tempo  la temperatura  gli torna utile come timer  come promemoria  pu  mettere la musica   senza smanettare con il cellulare ormai hanno fatto amicizia  e risponde anche se la chiama alessia  alexia e simili xd ma se non erro gli si pu  impostare un altro nome  ma mi fanno troppo divertire le sue varianti secondo me   un ottima idea anche per i nonni  che hanno internet a casa ovviamente    cos  mettono la musica che piace a loro  sanno sempre che ore sono  se piover    ricette  pu  chiamare persone direttamente dal dispostivo  purch  anche i destinatari abbiano impostato l app alexa se non erro    non pensavo  ma sono rimasta davvero contenta  pi  di quello che pensavo ,"5,0",0.1405,Good
un simpatico prodotto,al momento quasi tutto perfetto  l unico limite   che alcune risposte non le conosce oppure spesso mi collegherebbe in automatico ai pacchetti musica e libri a pagamento di amazon  per il resto un simpatico prodotto   soldi ben spesi ma l ho preso in offerta  a prezzo pieno ci avrei pensato forse ,"4,0",0.1212,Good
echo dot    generazione,tutto ok   stato un regalo che hanno apprezzato tantissimo  funziona perfettamente ed   facile da installare amazon top come al solito consegna in un giorno ,"5,0",0.2788,Good
consigliata io l ho presa per ascoltare musica di qualsiasi genere,consigliata per ascoltare musica di ogni genere,"5,0",0.25,Good
pensavo meglio,rispetto alla  a generazione si sente decisamente meglio  suoni pi  cristallini e forti  ma sempre rispetto alla  a mi capita pi  spesso di dover ripetere le cose e dove chiamare pi  volte alexa  quindi canta bene ma   un po  sorda ,"4,0",-0.173,Bad
eco doth   colore nero,  stata una sorpresa  non mi interessava pi  di tanto il prodotto  ma per risolvere alcuni problemi all impianto elettrico  mancanza di spazio nei corrugati per far passare tutti i cavi dei deviatori  ho deciso di prenderlo e iniziare a domotizzare le luci  qui la sorpresa  oltre a domittazere ho scoperto un altoparlante dal suono potente e pulito  si connette in automatico con spotify e amazon music  adesso cercher  di accoppiarlo ad un lettore mp  per le mie discografie  tanto ne sono rimasto soddisfatto anche per la possibilit  di usarlo come interfono  che ho deciso di prendere anche un echo show da     ed   formidabile pensare che io possa controllare cosa succede nella stanza dove l ho messo  chiaramente all ingresso  ,"5,0",0.1212,Good
perfetto,facile installazioneaudio perfettotutto come da descrizione,"5,0",0.25,Good
buona,ch  dire come cassa   buona anche il prezzo per  diciamo che delle volte alexa sbaglia quello che dici comunque la consiglio tutti grazie come sempre amazon   il venditore saluti,"4,0",-0.0773,Bad
da migliorare,il prodotto di per se   valido  buona la qualit  del suono  tuttavia abbinandolo ad una fire tv c   un enorme differenza di volume tra l assistente vocale e i contenuti visualizzatore  prime video  netflix   in particolare per godere dell audio dei film e serie sono costretto a metterlo quasi al massimo  e se nel mentre necessito di alexa devo prima abbassare il volume altrimenti spara al massimo ,"4,0",-0.086,Bad
utilissima ed apprezzata come regalo,prodotto comprato in occasione di natale ed   stato molto apprezzato echo dot   ha una bella linea che si rapporta in maniera ottimale con l ambiente circostante l audio durante la riproduzione della musica   limpido e si riescono a percepire i bassi in modo equilibrato comodissimo anche il termostato integrato che rileva  la temperatura interna alla stanza da sottolineare anche l ottima interfaccia del sistema che lo rende migliore dei competitors prodotto consigliato sia agli amanti della tecnologia che vogliono rendere la loro casa dotata di una domotica intelligente  sia a chi vuole semplicemente un assistente virtuale ,"5,0",0.186,Good
alexa tutta la vita,ottimo acquisto,"5,0",0.25,Good
alexsa e molto utile,e un regalo che io ho fatto per natale funziona bene il pacchetto ben fatto e arrivato il giorno dopo con prime,"5,0",0.25,Good
suona molto bene,perfetto  buona qualit  del sound  ma devo ancora scoprire come collegare tramite il bluetooth  la mia smart tv     sempre che sia possibile farlo  per  acquistato a met  prezzo con il black friday  un bell affare    cinque stelle ,"5,0",0.1012,Good
molto professionale,forteeeeeeee,"5,0",0.25,Good
ottimo,ottimo prodotto,"5,0",0.25,Good
purtroppo mi   arrivato difettoso,purtroppo il prodotto mi   arrivato difettoso  infatti non c era modo di fari ascoltare a meno dell attivazione da tastierino  fatto il reso e preso il modello con la scritta per pochi euro di differenza e devo dire la verit    davvero comodo il piccolo display sia per timer che come orologio ma anche nel resto delle comunicazioni  consiglio l altro modello a questo per una questione di comodit  ma alla fine   lo stesso prodotto ,"3,0",-0.0684,Bad
utile ,posizionato in cucina  utile per sveglie timer e promemoria  musica e radio con semplice richiesta vocale  arricchito con tanti giochi da poter fare  da migliorare in futuro l intelligenza di alexa e aggiungerei anche una cassa pi  forte   ,"4,0",0.25,Good
ottimo suono rispetto all echo dot base,sono contento che abbiano migliorato il microfono  adesso anche a due stanze di distanza riesce ad ascoltare  inoltre mi   capitato di parlare nominando  alexa  in un discorso con altre persone e non si   attivata  forse un aggiornamento fa riconoscere finalmente quando   il momento di attivarsi e quando no  comunque funziona in modo egregio con tutte le funzioni di alexa ,"4,0",-0.0684,Bad
ottimo prodotto,mi   piaciuto molto la qualit  e il disegno,"5,0",0.25,Good
buon prodotto,utile per tutto ,"5,0",0.25,Good
ottimo per tante cose musica news comandi vocali ecc top,ottima qualit  del suono riconoscimento vocale ok puoi chiedergli quasi tutto ,"5,0",0.1386,Good
ottimo,prodotto conforme alla descrizione e funzionale  il suono   migliorato,"5,0",0.25,Good
ok,ok,"5,0",0.148,Good
mah   ,audio migliorato ma dopo averlo provato per un mese sono tornato alla versione   che a mio parere rimane il migliore di tutti  quando faccio le chiamate ad altri dispositivi non mi sentono con la versione   mi sentono forte e chiaro  quindi microfono da migliorare insieme al riconoscimento vocale  ,"4,0",0.25,Good
comodissima,ottimo rapporto qualit  prezzo  non molto complicata da installare ma non semplicissima da configurare con le skill che non sono sempre presenti nella lista che trovate nella sua app  non   sempre chiaro il procedimento  comunque un accessorio comodo ,"4,0",0.25,Good
echo ed alexa al top,nella vostra camera da letto non pu  mancare questo accessorio essenziale per la domotica ,"4,0",-0.0891,Bad
buono,mi aspettavo un audio migliore ma va bene cos      un buon prodotto ,"4,0",0.25,Good
echo che echo,funziona veramente      umor  sono capricci utili soprattutto per i bambini  non mi voglio prolungare pi  di tanto l importante avere tutto wifi poi con echo puoi fare quello che vuoi facile nel montaggio  installazione idem  consiglio vivamente amazon se consiglia ci sar  un motivo ,"5,0",0.1212,Good
un assistente vocale ma non solo,ho acquistato alexa come regalo di natale per mia madre perch  ama molto ascoltare musica e perch  vedo che spesso guarda le ricette su youtube  quindi per permetterle di azionare musica o tv senza dover usare un telecomando  in realt  ho scoperto tutte le funzioni legate alla casa intelligente come l accensione di luci o il collegamento di dispositivi  e mi sto appassionando  credo che nel tempo implementer  ulteriormente quest automazione domestica con alexa ,"5,0",-0.0684,Bad
da consigliare,prodotto molto semplice da usare,"5,0",0.25,Good
casa,mi   piaciuto tantissimo e un  altoparlante ottimo  di alta qualit   lo consiglio  lo utilizzo  per comandare  tutto la casa  ,"5,0",0.25,Good
utile,ottimo suono   utile,"4,0",0.25,Good
alexa,alexa una garanzia,"5,0",0.25,Good
ottimo,da scoprire le funzionalit  del dispositivo,"4,0",0.25,Good
ottimo,bella e funzionale,"5,0",0.25,Good
ottimo passatempo,facile l istallazione e comoda,"5,0",0.25,Good
bellissimo   lo consiglio grazie,allora amici che dire di echo dot   non mi aspettavo che questo oggetto trasformasse la mia vita ho iniziato   con un pezzo alexa appunto e ho trasformato a oggi la mia casa tutta smart  dalla tv a tutti gli oggetti smart che ci sono su amazon diriggo il tutto semplicemente seduto sul divano oppure in cucina fantastico lo consiglio ps l unica cosa che non va e  chiedere a alexa di svegliarmi tre volte la settimana per andare ha correre alle   del mattino  perche  e troppo precisa e se non ti svegli insiste ha chiamarti ahahaha ,"5,0",0.2898,Good
  gi  il secondo,acquistato per avere la musica multi stanza  ho provato a metterlo come audio stereo per il televisore ed   stata veramente una scoperta i due canali restituiscono un audio potente per piccoli ambienti,"5,0",0.25,Good
un buon prodotto per la sua fascia di prezzo,la qualit  dell audio non   male ma si potrebbe fare di meglio  la regolazione del volume tramite i tasti a volte ha una risposta non immediata  ma   piccolo e pratico da spostare  noi lo usiamo in sala e in giardino principalmente per ascoltare musica e portarlo avanti e indietro   pratico  purtroppo va necessariamente collegato alla corrente e non dispone di autonomia,"4,0",0.186,Good
ottimo prodotto,ottimo prodotto,"4,0",0.25,Good
ottimo,funziona benissimo,"5,0",0.25,Good
alexa,buon prodotto,"4,0",0.25,Good
bello esteticamente e funzionale  nel complesso un buon prodotto,ormai gli echo dot non sono pi  una novit   ottimo prodotto come gli altri delle precedenti generazioni del resto  ne ho altri    anche di prima generazione  in questo mi aspettavo qualche miglioria evidente ed invece  pi  o meno  siamo sul solito livello anche come qualit  audio ,"4,0",0.25,Good
divertente,ottima compagnia e molto utile per ogni curiosit   sostituisce anche il classico stereo ,"5,0",0.25,Good
amico indispensabile,rapida installazione  mille risorse per tutta la famiglia,"5,0",0.25,Good
soddisfatto  buon prodotto ,prodotto che oramai si recensisce da solo  essendo della famiglia  alexa   a livello di audio mi sembra appena poco pi  basso dei un echo dot  ma sicuramente resta un ottimo prodotto  avrei messo i comandi touch pi  verso l utente e meno verso il lato nel quale si inserisce l alimentazione,"4,0",0.25,Good
audio pi  potente e nuovi sensori,                    impossibile caricare il contenuto multimediale                  il progresso continua   in primis spicca la presenza di un sensore temperatura che rende questo dispositivo un preciso  termometro   altra integrazione riguarda l accelerometro cos  vi baster  toccare il dispositivo per ad esempio mettere in pausa o stoppare la svegliadriver pi  grande e la differenza si notaaudio abbastanza potente e soprattutto realmente personalizzabile nell equalizzazione  modificando dall app le frequenze andrete realmente a percepire le differenze   suono corposo e abbastanza potentefunzione di risparmio energetico   anche la scheda per la connessione wi fi   di ultima generazione consentendo un maggior risparmio energeticoconnettivit  bluetooth da e verso altri dispositivo stabile che vi permetter  di connettere il dispositivo ad altre periferiche mandando o ricevendo l audio    stato rimosso l uscita jack via cavoinstallazione immediata se scegliete l autoconfigurazione in fase d acquisto o anche altrettanto rapida se configurerete tramite app vi baster  sincronizzare e inserire la vostra password wi fimicrofoni bidirezionali sensibili   daranno la possibilit  di azionare comandi di qualsiasi genere dalle ricerche web a l azionamenti di elettrodomestici presenti in casa e associabili all account  ormai quasi tutti gli elettrodomestici dalle tv alle lavatrici o aspirapolveri di ultima generazione sono associabili a questo dispositivoforma e design gradevoli e abbinabili su qualsiasi arredo,"5,0",0.25,Good
prodotto amazon  molto  carino,la forma   molto carina   una sfera con la base che s illumina   con bei colori   utili a capire lo stato della sfera   il volume massimo andrebbe migliorato   l ho comprato perch  enfatizzavano nella caratteristiche il suono     l  app per gestirlo andrebbe semplificata   io ho l account prime e mi era arrivata una mail in cui si diceva che potevo ascoltare liberamente la musica   ma non mi fa scegliere i brani   me li mette simili  l interfaccia dell app alexa crea confusione   bisogna schematizzarla meglio,"4,0",0.2178,Good
difficolt  nella connessione bluetooth non ha uscita aux,                    impossibile caricare il contenuto multimediale                  ho la prima versione di alexa e si connette benissimo alla sound bar lg  questa ultima versione di    generazione non la rileva neanche con la app alexa successivamente ho provato a collegare un alexa di   generazione e si   collegata all istante  nel frattempo mi ha scritto l assistenza di amazon ed ho riprovato a riavviare alexa e si   collegata  nel primo collegamento ha fatto un aggiornamento software probabilmente era necessario riavviare alexa  do   stelle perch  le versioni precedenti hanno l uscita aux   in questa il cavo di collegamento   bianco con alexa nera  ,"4,0",0.3022,Good
strumento carino e comodo,ero un po  perplesso  ma riconosco che sia comodo,"4,0",-0.173,Bad
ottimo sound,buona integrazione con la voce e ottimo sound  scontato   un affarone  ,"4,0",0.25,Good
grande speaker,la base per una casa domotica,"5,0",0.25,Good
bello,troppo carino x ascoltare musica e chiedere informazioni s nza usare il tel   ottimo,"4,0",0.25,Good
ci vuole prime music,per essere cos  piccolo si sente benissimo,"5,0",0.25,Good
prodotto buono,per chi conosce gia questo prodotto non ha bisogno di presentazioni  comodo il sensore per spegnere la sveglia o la musica al tocco ,"5,0",0.186,Good
ottimo prodotto,prodotto ottimo come da descrizione,"5,0",0.25,Good
bello,alexa   stratosferica  risponde bene ad ogni comando  molto comodo e utile per chi sta sempre a letto e per chi perde il telecomando,"5,0",0.25,Good
ottima,tutto bene si sente ottimamente fa tante cose   intuitiva e cosa importante si collega anche con l hotspot dello smartphone ,"5,0",0.25,Good
fantastica,alexa meravigliosa mi ricorda appuntamenti mi fa lista della spesa mi d  il buongiorno  qualit  della musica molto buona,"5,0",0.25,Good
buono,buona,"5,0",0.25,Good
comodo e utile,bell acquisto,"5,0",0.25,Good
un cult,sempre utile,"5,0",0.25,Good
echo dott,mi diverto molto con alexa  con prime tutto arriva in fretta ,"5,0",0.25,Good
buon sound  temperature rilevata imprecisa,un discreto passo avanti dal    anche se niente di esoterico  l avevo preso pi  che altro per sfruttare anche il sensore di temperatura  ma   decismente inaffidabile  anche due echo   vicini segnano   gradi di differenza    mica pochi udpate i sensori dei due echo ora sono in linea sia tra loro che col termostato di casa,"4,0",0.25,Good
regalo perfetto    ,davvero divertente e facile da usare  comoda per le attivit  di tutti i giorni all interno della vostra abitazione ne ho acquistate due   una come regalo per mio padre e devo dire che si possono fare davvero tante cose  utili per controllare prodotti smart home e divertente nella personalizzazione e nell ascolto della musica che preferiamo consigliato   ,"4,0",0.0191,Good
buono,buono,"5,0",0.25,Good
